question,answer
"Tôi bị tụt nhãn cầu do chấn thương xoang sàng khoảng mấy tháng trước. Bác sĩ cho tôi hỏi, có cách nào khôi phục lại thẩm mỹ như ban đầu sau chấn thương xoang sàng không ạ?","Chào bạn! Với thắc mắc “có cách nào khôi phục lại thẩm mỹ như ban đầu sau chấn thương xoang sàng không?” Bác sĩ xin tư vấn như sau: Trường hợp tụt nhãn cầu do chấn thương xoang có thể can thiệp điều trị để cải thiện thẩm mỹ và tránh ảnh hưởng đến chức năng bằng phẫu thuật nội soi, giúp tái tạo lại sàn hốc mắt. Song bạn cần đến khám, để xác định rõ mức độ bệnh cũng như các tổn thương khác kèm theo, từ đó bác sĩ sẽ tư vấn cho bạn cách điều trị phù hợp nhất. Bạn có thể đến tại các bệnh viện để bác sĩ tư vấn thêm. Cảm ơn bạn đã đặt câu hỏi cho DICA. Trân trọng!"
"Chào bác sĩ, Móng tay có một đường sọc dọc màu tối. Bác sĩ cho em hỏi móng tay có đường sọc màu tối là dấu hiệu bệnh gì? Kèm theo đó thì có triệu chứng gì khi bị bệnh không vì hiện tại ngoài việc móng tay cái có một đường sọc thì em không có biểu hiện hay triệu chứng gì cả? Em nghe đồng nghiệp bảo bị như vậy rất nguy hiểm, mong bác sĩ tư vấn, em cảm ơn.","Chào bạn, Với câu hỏi “Móng tay có đường sọc màu tối là dấu hiệu bệnh gì?”, bác sĩ xin giải đáp như sau: Móng tay có một sọc màu tối có thể do một số nguyên nhân như: Đụng dập, tắc mạch, nhiễm nấm, thiểu dưỡng,.. Hiện tại, bạn không có biểu hiện gì khác thì khả năng mắc bệnh nguy hiểm là rất thấp. Tốt nhất, bạn nên đến bệnh viện để được Bác sĩ thăm khám tìm nguyên nhân cho bạn. Nếu bạn còn thắc mắc về móng tay có đường sọc màu tối, bạn có thể đến bệnh viện để kiểm tra và tư vấn thêm. Cảm ơn bạn đã đặt câu hỏi cho DICA. Chúc bạn có thật nhiều sức khỏe. Trân trọng!"
"Chào bác sĩ, tôi bị thủy đậu giờ đỡ rồi nhưng mà các nốt bị vỡ lại sưng lên và có mủ vậy tôi phải làm gì ạ?","Chào bạn, bệnh lý thủy đậu thường do virus Varicella gây ra, nó chỉ tiến triển cấp 7-10 ngày. Có 4 giai đoạn chính của bệnh: Giai đoạn ủ bệnh: Mệt mỏi, sốt nhẹ,...Giai đoạn khởi phát: Sốt cao, mệt nhiều hơn, có các nốt ban nhỏ trên da,...Giai đoạn toàn phát: Sốt, nhiều ban dạng nước trên da (trong) và giai đoạn phục hồi. Tuy nhiên trên da có nhiều vi khuẩn nên nguy cơ tổn thương này bội nhiễm giống trường hợp của bạn mô tả. Đối với trường hợp của bạn nên vệ sinh da sạch sẽ, điều trị kháng sinh chống bội nhiễm phù hợp. Bạn nên đến bệnh viện để khám và điều trị cho yên tâm."
"Chào bác sĩ. Bệnh nhân bị u mạc treo ruột nhiễm vào đầu tụy kèm thứ phát ra hạch từ ổ bụng điều trị được không Mong bác sĩ tư vấn giúp tôi, tôi xin cảm ơn.","Bác sĩ - Trung tâm Ung bướu - Xạ trị, Bệnh viện Đa khoa Quốc tế Vinmec Times City. Chào bạn, Với câu hỏi: ""U mạc treo ruột nhiễm vào đầu tụy kèm thứ phát ra hạch từ ổ bụng điều trị được không?"" bác sĩ giải đáp như sau: Tình trạng u mạc treo cần phải được khám xét kỹ càng để đánh giá các tổn thương xâm lấn. Để kiểm tra điều đó cần chụp CT đa dãy toàn thân cũng như nội soi ống tiêu hóa để phát hiện các tổn thương từ ống tiêu hóa đi ra. Người bệnh cần được khám sớm và điều trị bằng phẫu thuật. Có thể điều trị khỏi triệt căn nếu phẫu thuật được Nếu bạn còn thắc mắc về việc u mạc treo ruột nhiễm vào đầu tụy kèm thứ phát ra hạch từ ổ bụng, bạn có thể đến bệnh viện để được thăm khám. Cảm ơn bạn đã đặt câu hỏi cho DICA. Trân trọng!"
"Chào bác sĩ, cho em hỏi dấu hiệu trầm cảm như thế nào ạ?","text: Chào bạn! Trầm cảm là một chứng rối loạn tâm trạng, gây ra một cảm giác buồn và mất hứng thú kéo dài dai dẳng nhưng không phải ai cũng biết rõ dấu hiệu bệnh. Bạn có thể nhận biết được qua các dấu hiệu trầm cảm sau: Nếu có nghi ngờ bản thân hoặc người thân có dấu hiệu trầm cảm, người bệnh cần đến sự giúp đỡ và tư vấn từ bác sĩ để được điều trị, tránh hậu quả xấu mà bệnh gây ra. Nếu còn băn khoăn thắc mắc về việc trường hợp “dấu hiệu trầm cảm như thế nào?” bạn có thể đến bệnh viện để nhờ sự tư vấn chuyên sâu từ bác sĩ. Cảm ơn bạn đã đặt câu hỏi cho DICA. Chúc bạn có thật nhiều sức khỏe. Trân trọng!"
"Chào bác sĩ, Mẹ có bướu ở cổ nên phải kiêng cữ đậu nành nhưng hiện tại mẹ đang uống Collagen có thành phần là đậu nành. Vậy bác sĩ cho em hỏi người bệnh bướu cổ có uống Collagen có thành phần đậu nành không? Thuốc thực phẩm chức năng Collagen có thể sử dụng cùng lúc với thuốc bổ trợ xương khớp không? Em cảm ơn bác sĩ.","Chào bạn, Với câu hỏi “Người bệnh bướu cổ có uống Collagen có thành phần soybeans không?”, bác sĩ xin giải đáp như sau: Bướu cổ hay còn gọi là bướu giáp là một bệnh lý phổ biến của tuyến giáp có biểu hiện rất điển hình là có khối lồi lên ở vùng cổ do sự tăng lên về kích thước của tuyến giáp. Sản phẩm từ đậu nành có thể làm giảm hấp thu Iod, nên những sản phẩm đậu nành chưa được loại bỏ tạp chất, cần tham khảo tìm hiểu sản phẩm nếu dự định dùng, Với thực phẩm chức năng Collagen, bản chất là protein, xây dựng tế bào, cần cho mọi tế bào đặc biệt tế bào xương khớp. Nếu bạn còn thắc mắc về bướu cổ, bạn có thể đến bệnh viện để kiểm tra và tư vấn thêm. Cảm ơn bạn đã đặt câu hỏi cho DICA. Chúc bạn có thật nhiều sức khỏe. Trân trọng!"
"Chào bác sĩ, Em năm nay 17 tuổi rưỡi. Hiện nay, em đang bị cận thị, mắt trái 3,75 - mắt phải 4,5 độ. Dạo gần đây, mỗi khi nhìn gần chữ trong sách, vở thì em cứ bị nhìn nhảy từ dòng này sang dòng khác (nhìn rõ lúc nhảy), đeo kính cận vào thì lúc mờ lúc rõ liên tục. Ngoài ra, em còn cảm thấy mỏi mắt và nhức đầu mỗi khi nhìn sách vở, điện thoại. Bác sĩ cho em hỏi mỏi mắt, nhức đầu khi nhìn sách vở lúc đeo kính cận là bị làm sao? Em cảm ơn bác sĩ.","Chào bạn, Với câu hỏi “Mỏi mắt, nhức đầu khi nhìn sách vở lúc đeo kính cận là bị làm sao?”, bác sĩ xin giải đáp như sau: Với biểu hiện như bạn mô tả thì mắt bạn ngoài bị cận thị, có thể kèm theo các bất thường khác tại mắt như: Loạn thị, mỏi điều tiết hoặc do kính bạn đang đeo không phù hợp. Bạn cần đến khám chuyên khoa Mắt để được kiểm tra thị lực, đo khúc xạ, đo nhãn áp cũng như khám trên sinh hiển vi và soi đáy mắt để tìm nguyên nhân gây bệnh. Trong thời gian chưa đến khám được ngay bạn nên hạn chế sử dụng các thiết bị điện tử như điện thoại, máy tính, ti vi, hạn chế nhìn gần, tăng cường nhìn xa trên 6m, không thức khuya để mắt được nghỉ ngơi, thư giãn. Nếu thấy các dấu hiệu bất thường như: mắt nhìn mờ nhanh, đau nhức mắt tăng lên bạn cần đến khám chuyên khoa Mắt ngay. Nếu bạn còn thắc mắc về mỏi mắt, nhức đầu khi nhìn sách vở lúc đeo kính cận, bạn có thể đến bệnh viện để kiểm tra và tư vấn thêm. Cảm ơn bạn đã đặt câu hỏi cho DICA. Chúc bạn có thật nhiều sức khỏe. Trân trọng!"
"Chào bác sĩ, Khoảng 20 ngày trước, cháu được chẩn đoán viêm đường tiết niệu do lậu, cháu được tiêm thuốc và uống thuốc trong 7 ngày. Sau khi uống thuốc tiếp 7 ngày thì lại xuất hiện tình trạng đau đầu dương vật và khó chịu ở trong niệu đạo. Sau đó, cháu được lấy dịch xét nghiệm cho kết quả không còn lậu nữa mà chỉ là nhiễm cầu khuẩn thôi và được cho thuốc uống 5 ngày. Nhưng tới hôm nay, cháu lại xuất hiện biểu hiện cũ là đau đầu dương vật, khó chịu trong niệu đạo, không tiểu buốt và đau tinh hoàn bên trái. Bác sĩ cho cháu hỏi giờ phải làm gì ạ? Điều trị viêm đường tiết niệu như thế nào ạ?","Bạn nên làm lại xét nghiệm vi khuẩn và siêu âm tinh hoàn để đánh giá xem viêm nhiễm có đến những cơ quan này không và điều trị triệt để. Bạn có thể đến bệnh viện để được các bác sĩ chuyên khoa kiểm tra tìm ra nguyên nhân gây bệnh và tư vấn hướng điều trị hiệu quả nhất cho bạn nhé. Nếu bạn còn thắc mắc về viêm đường tiết niệu, bạn có thể đến bệnh viện để kiểm tra và tư vấn thêm. Cảm ơn bạn đã đặt câu hỏi cho DICA. Chúc bạn có thật nhiều sức khỏe. Trân trọng!"
"Chào bác sĩ. Ở cổ tôi luôn cảm thấy luôn có dịch nhầy đặc hơn nước bọt một chút vướng ở cổ, tôi không bị viêm họng gì cả, đôi khi cảm thấy có gì đè vào và bị vướng. Nhưng ăn uống tôi vẫn nuốt bình thường không bị vướng. Bác sĩ có thể tư vấn giúp tôi trường hợp cổ họng có dịch nhầy, cảm giác bị vướng dấu hiệu bệnh gì? Tôi cảm ơn bác sĩ.","Chào bạn, theo như những triệu chứng bạn mô tả thì có thể bạn đang có tình trạng loạn cảm họng (rối loạn cảm giác vùng họng). Tình trạng này có thể do rất nhiều nguyên nhân gây ra. Vì vậy, bạn có thể đến chuyên khoa Tai - Mũi - Họng - Bệnh viện hoặc các cơ sở Y tế khác để được kiểm tra và nhận thêm tư vấn về các dấu hiệu cổ họng có dịch nhầy, cảm giác bị vướng dấu hiệu bệnh gì? Rất mong có thể gặp bạn tại Vinmec và cùng trao đổi thêm về tình trạng hiện tại. Trân trọng cảm ơn."
"Chào bác sĩ. Mẹ tôi bị thủng màng nhĩ bên tai trái có chữa được không ạ, hiện mẹ tôi đã bị 3 năm rồi. Nếu không chữa được thì có thiết bị hỗ trợ nào để nghe được rõ không ạ? Cảm ơn bác sĩ.",text: Chào bạn. Trường hợp của người này thủng màng nhĩ nhưng có kèm theo chảy mủ tai không? Thủng màng nhĩ có thể phẫu thuật để màng nhĩ kín lại. Sức nghe lên được nhiều hay ít hoặc không lên được tùy từng trường hợp. Bạn nên cho người này đến khám bác sĩ chuyên khoa để đánh giá cụ thể và có hướng tư vấn chuyên sâu về tình trạng hiện tại. Bạn cũng có thể cho người này tới khám tại bệnh viện . Rất mong có thể gặp bạn và người này để trao đổi thêm. Cảm ơn bạn đã đặt câu hỏi cho DICA. Chúc người này luôn có sức khỏe tốt.
