question,answer
"Chào bác sĩ! Tôi đang uống thuốc tránh thai hàng ngày loại 28 viên. Tôi uống đều 7 viên đầu, đến viên thứ 8 tôi uống ngược thành viên 14,13,12... đến viên cuối của hàng thuốc thứ 2 tôi mới phát hiện ra. Trong 7 viên uống sai tôi có quan hệ 2 lần. Bác sĩ cho tôi hỏi như thế liệu khả năng có thai cao không ạ? Mong bác sĩ tư vấn giúp tôi. Tôi xin cảm ơn!","Chào bạn! Thuốc tránh thai hàng ngày vỉ 28 viên, trong đó sẽ có 21 viên tránh thai với thành phần và hàm lượng như nhau và 7 viên thuốc bổ (thuốc giả dược). Vì vậy, việc bạn uống nhầm từ viên thứ 8 vẫn có tác dụng tránh thai như bình thường. Cảm ơn bạn đã đặt câu hỏi cho DICA. Trân trọng!"
"Chào bác sĩ! Bác sĩ cho em hỏi bệnh động kinh có thể chữa khỏi được không? Em đã điều trị hơn 5 năm mà hiện tại vẫn thỉnh thoảng bị co giật. Em là sinh viên, thường xuyên thức khuya và em khó ngủ nữa ạ. Mong bác sĩ tư vấn giúp em. Em cảm ơn bác sĩ.","Chào em. Với câu hỏi: “Bệnh động kinh có thể chữa khỏi được không?” của bạn, bác sĩ xin tư vấn như sau: Bệnh động kinh có thể chữa khỏi, đặc biệt động kinh ở trẻ em, động kinh vô căn (chưa rõ nguyên nhân). Còn đối với trường hợp của em, năm nay đã 24 tuổi, điều trị động kinh đã 5 năm, thỉnh thoảng vẫn còn có cơn co giật, chứng tỏ việc điều trị vẫn chưa đạt hiệu quả cao nhất. Có thể do nhiều nguyên nhân, mà việc thức khuya cũng có thể là yếu tố nguy cơ làm xuất hiện cơn giật. Hoặc việc dùng chất kích thích rượu bia, ... Em cần kết hợp nhiều yếu tố điều trị, kiêng cữ, theo dõi gia giảm thuốc, lựa chọn thuốc và liều lượng thích hợp, dùng thuốc đều đặn... thì mới có thể khống chế cơn co giật (động kinh). Em có thể đến cơ sở cơ sở Y tế uy tín hoặc một trong các bệnh viện trên toàn quốc để được tư vấn kỹ hơn. Cảm ơn em đã tin tưởng và gửi câu hỏi về Vinmec. Trân trọng!"
"Chào bác sĩ, Năm nay, em 26 tuổi, hay bị mất ngủ vì triệu chứng “sâu tai” - tự lặp đi lặp lại 1 giai điệu bài hát trong đầu không dứt được, ban ngày thì không bị nhưng cứ khi đi ngủ, nhắm mắt là đầu lại tự “bật” bài hát đó lên và khiến em trằn trọc, khó chịu, mệt mỏi, rất ảnh hưởng đến công việc. Vậy bác sĩ cho em hỏi mất ngủ, trằn trọc cả đêm phải khắc phục thế nào? Có phải em bị rối loạn thần kinh không? Em cảm ơn.","Chào bạn, Với câu hỏi “Mất ngủ, trằn trọc cả đêm phải khắc phục thế nào?”, bác sĩ xin giải đáp như sau: Bệnh mất ngủ do nhiều nguyên nhân gây ra. Trong đó, nếu chỉ bị mất ngủ thoáng qua thì có thể là do một số nguyên nhân sau: Nguyên tắc điều trị bệnh mất ngủ như sau: Nguyên nhân của những rối loạn thần kinh này: Bạn nên đến khám chuyên khoa Thần kinh để được kiểm tra và tư vấn điều trị. Nếu bạn còn thắc mắc về mất ngủ, trằn trọc cả đêm, bạn có thể đến bệnh viện để kiểm tra và tư vấn thêm. Cảm ơn bạn đã đặt câu hỏi cho DICA. Chúc bạn có thật nhiều sức khỏe. Trân trọng!"
Error,"Chào bạn! Thắc mắc “tê lưỡi và chân răng cửa, khô ráp vùng hầu họng là dấu hiệu bệnh gì?” của bạn được giải đáp như sau: Những triệu chứng của bạn mô tả thường là do rối loạn cảm giác vùng hầu họng, đa số sẽ không tìm được nguyên nhân chính xác, tuy nhiên có thể tìm các yếu tố nguy cơ ảnh hưởng đến rối loạn cảm giác đó là các bệnh lý về thần kinh ngoại vi, các bệnh lý về đường tiêu hóa như hội chứng trào ngược, các bệnh lý về thiếu vitamin như vitamin PP, C, kẽm, các bệnh lý về tâm thần. Sau khi khám tai mũi họng rồi bạn nên kiểm tra thêm về khoa nội thần kinh và đường tiêu hóa. Bạn có thể đến tại các phòng khám, bệnh viện trên toàn quốc để được bác sĩ tư vấn thêm. Trân trọng!"
"Chào bác sĩ, cháu hiện đang bị đau 2 bên mắt trước. Cháu có đi ra hiệu thuốc hỏi thì người ta bảo cháu bị dị ứng sau tiêm Covid và tình trạng này cứ thường xuyên mắt cháu lại đỏ và nhức. Cháu muốn nhờ bác sĩ tư vấn giúp cháu thường xuyên đau nhức mắt kèm đỏ điều trị được không? Cháu cảm ơn ạ.","Chào bạn, Với câu hỏi “Thường xuyên đau nhức mắt kèm đỏ điều trị được không?”, bác sĩ giải đáp như sau: Nếu nguyên nhân do dị ứng sau tiêm Covid thì thường sau một thời gian ngắn sẽ hết, trừ những trường hợp nặng cần phải xử trí ngay nếu không sẽ có những ảnh hưởng nghiêm trọng. Như những biểu hiện tại mắt mà bạn mô tả và tình trạng này thường xuyên xảy ra thì khả năng không phải do tiêm Covid mà do những bệnh lý thực thể tại mắt như: viêm giác mạc, viêm kết mạc, khô mắt, glocom... Bạn cần đến khám chuyên khoa mắt sớm, tránh để lâu sẽ khó điều trị và có nguy cơ biến chứng ảnh hưởng đến chức năng của mắt. Nếu bạn còn thắc mắc về việc thường xuyên đau nhức mắt kèm đỏ, bạn có thể đến cơ sở y tế thăm khám và điều trị sớm. Cảm ơn bạn đã đặt câu hỏi cho DICA. Chúc bạn có thật nhiều sức khỏe. Trân trọng!"
"Chào bác sĩ ạ. Cháu có đi trám răng cửa do có lỗ sâu nhỏ giữa kẽ răng từ năm ngoái. Gần đây cháu thấy lợi hơi sưng, không đau nhưng có cảm giác căng và có bọng nước nhỏ. Bác sĩ cho cháu hỏi cháu bị làm sao ạ? Mong bác sĩ tư vấn, cháu cảm ơn.","Chào bạn, Với câu hỏi “Sưng lợi, có bọng nước nhỏ là dấu hiệu bệnh gì?”, bác sĩ xin giải đáp như sau: Bạn đã trám răng cửa thấy lợi sưng căng và có bọng nước bạn nên đến phòng khám răng hàm mặt bệnh viện để được thăm khám, tư vấn và điều trị (chụp phim xquang), không nên tự điều trị tại nhà. Nếu bạn còn thắc mắc về sưng lợi, có bọng nước nhỏ là dấu hiệu bệnh gì, bạn có thể đến bệnh viện để kiểm tra và tư vấn thêm. Cảm ơn bạn đã đặt câu hỏi cho DICA. Chúc bạn có thật nhiều sức khỏe. Trân trọng!"
"Chào bác sĩ, Em là F0 đã khỏi bệnh được hơn 1 tháng. Hôm nay, khu phố tổ chức test nhanh covid 19, test mẫu gộp 3 người thì kết quả dương tính, nhưng khi test riêng từng người thì cả 3 đều âm tính. Bác sĩ cho em hỏi, đã điều trị khỏi có khả năng tái nhiễm Covid không?","Chào bạn, Với câu hỏi “ Đã điều trị khỏi có khả năng tái nhiễm Covid không?”, bác sĩ xin giải đáp như sau: Theo thông tin mô tả, bạn test PCR covid mẫu gộp, sau đó test PCR riêng âm tính, có khả năng bạn không bị nhiễm Covid 19. Khi virus xâm nhập vào cơ thể, cơ thể sẽ phản ứng theo hướng sản sinh ra các kháng thể để nhận ra virus và tấn công chúng. Theo hiểu biết thông thường thì khi một người đã nhiễm virus một lần rồi, hệ miễn dịch sẽ không để virus đó xâm nhập và gây ra tình trạng “ốm” lại một lần nữa. Tuy nhiên, nếu bạn có yếu tố dịch tễ hoặc đã tiếp xúc F0, bạn cần làm lại PCR Covid 19 thêm lần nữa sau 3 ngày để có kết quả chính xác nhất. Nếu bạn còn thắc mắc về tái nhiễm Covid, bạn có thể đến bệnh viện để kiểm tra và tư vấn thêm bạn nhé. Cảm ơn bạn đã đặt câu hỏi cho DICA. Chúc bạn có thật nhiều sức khỏe. Trân trọng!"
"text: Chào bác sĩ, tôi đá bóng bị va chạm khiến đau mép trong đầu gối. Khoảng 4 tuần rồi nhưng khi đá bóng, phía trong chân vẫn đau. Xin hỏi bác sĩ tôi bị gì và cách điều trị ra sao? Mong bác sĩ tư vấn, cảm ơn bác sĩ.","Chào bạn, Theo như bạn mô tả thì có thể bạn bị chấn thương dây chằng bên trong hoặc sụn chêm trong. Với những tổn thương này bạn nên thu xếp đến khám trực tiếp với."
Error,"Chào em! Đối với thắc mắc về Phương pháp khắc phục tình trạng không ngậm được miệng khi ngủ, bác sĩ xin được giải đáp như sau: Nguyên nhân không ngậm được miệng lại được có thể do em có khớp cắn hở hoặc do khớp thái dương hàm. Nếu do khớp cắn hở thì em nên nắn chỉnh răng về khớp cắn bình thường. Nếu do khớp thái dương hàm thì tùy vào trường hợp có thể nắn hoặc phẫu thuật để đưa về khớp cắn đúng. Em có chảy nhiều nước bọt khi ngủ do không ngậm được miệng nhưng cũng có thể do nguyên nhân khác nữa (Ví dụ: Bệnh trào ngược dạ dày thực quản...). Trong trường hợp này, em cần đến viện để được chẩn đoán và điều trị tốt hơn. Cảm ơn bạn đã đặt câu hỏi cho DICA."
"Chào bác sĩ! Chu kỳ kinh của em là 28 ngày, ngày 25/2 dương lịch em đến ngày và ngày 20/3 dương lịch em có quan hệ. Bác sĩ cho em hỏi liệu em có dính bầu không ạ? Mong bác sĩ tư vấn giúp em. Em xin cảm ơn! Câu hỏi khách hàng ẩn danh Chào bác sĩ, chu kỳ kinh của em là 26 ngày mà tháng này vợ chồng em có quan hệ vào ngày 21, hiện giờ chưa có kinh thì liệu có thai không ạ. Cảm ơn bác sĩ tư vấn. Câu hỏi khách hàng ẩn danh Bác sĩ ơi cho em hỏi còn ít ngày nữa e tới tháng nhưng quan hệ với chồng không ngừa liệu có thai không bác sĩ? Mong bác sĩ tư vấn. Xin cảm ơn. Em quan hệ trước ngày dự tính có kinh 5 ngày mà hiện giờ em trễ 1 ngày rồi. Em có thai không ạ? Mong bác sĩ tư vấn. Xin cảm ơn.","Chào bạn! Theo thông tin bạn cung cấp, ngày quan hệ của bạn được coi là an toàn. Tuy nhiên, trong trường hợp quan hệ không sử dụng biện pháp tránh thai an toàn vẫn có khả năng mang thai vì ngày rụng trứng đúng chỉ diễn ra khi chu kỳ kinh nguyệt đều. Cảm ơn bạn đã gửi câu hỏi đến Vinmec, rất mong có thể được gặp bạn để tư vấn cụ thể hơn!"
